time,Rn_exch__Bqm3,Rn_air__Bqm3,depth__m,temp_wat__C,Rn_wat__Bqm3,wind__ms
2008-12-09 22:55,151.7451313,1.947025,1.185416038,19.040000,39.5319791,1.490133
2008-12-09 23:25,145.1869845,2.23925075,1.184181701,19.040000,37.82347934,1.937173
2008-12-09 23:55,134.7183103,2.5314765,1.183321115,19.040000,35.09622604,2.086187
2008-12-10 0:25,166.7889089,2.82370225,1.180750857,19.040000,43.45111836,1.639147
2008-12-10 0:55,168.9514519,3.115928,1.182588946,19.040000,44.01449463,1.341120
2008-12-10 1:25,147.533301,2.62899975,1.182667529,19.318667,38.11556322,1.341120
2008-12-10 1:55,93.93984337,2.1420715,1.18292053,19.420000,24.1963744,1.490133
2008-12-10 2:25,147.4114977,1.65514325,1.181256858,19.040000,38.40299978,2.086187
2008-12-10 2:55,128.1665743,1.168215,1.181063274,19.040000,33.38939636,2.086187
2008-12-10 3:25,130.2265461,1.168215,1.180798773,19.040000,33.92605122,1.788160
2008-12-10 3:55,138.9985215,1.168215,1.180005271,19.040000,36.21128796,1.937173
2008-12-10 4:25,162.2437221,1.168215,1.180541939,19.040000,42.26702614,1.788160
2008-12-10 4:55,194.4895465,1.168215,1.181473442,19.040000,50.66756753,1.937173
2008-12-10 5:25,153.9888766,1.168215,1.181469609,19.014667,40.14702677,1.490133
2008-12-10 5:55,183.9033428,1.168215,1.181128441,19.040000,47.90969596,1.043093
2008-12-10 6:25,140.9965232,1.168215,1.181128441,19.040000,36.73179864,1.341120
2008-12-10 6:55,155.8800333,1.168215,1.181128441,19.040000,40.6091857,1.350000
