time,Rn_exch__Bqm3,Rn_air__Bqm3,depth__m,temp_wat__C,Rn_wat__Bqm3,wind__ms,meas_t__h,temp_wat__K,mole_diff_Rn__m2s,dens_wat__kgm3,abs_visc_wat__kgsm,kin_visc_wat__m2s,schm_num,k_piston_Rn__ms,kw_air,lambda__s,Rn_ss__Bqm3,Rn_ini_inv__Bqm2,Rn_ss_flux__Bqm2s,mc_Rn_water__Bqm3,mc_Rn_air_exch__Bqm3,grad_Rn_conc__Bqm3,f_Rn_atm__Bqm2s,m_inv_Rn_decay_corr__Bqm2,m_SGD_inv_Rn__Bqm2,m_air_loss_inv_Rn__Bqm2,m_net_inv_Rn__Bqm2,final_Rn_wat_no_temp_corr__Bqm3,R_tem_sol_corr,final_mc_Rn__Bqm3,sq_err
2008-12-09T02:25:00Z,131.1700791,3.769732,1.153691272,12.93,41.5062034,0.149013,0.5,286.08,9.606997911510525e-10,999.3880462158902,0.001199687250335644,1.2004218530311345e-6,1249.5285874819037,3.64389485629356e-8,0.31643042131058746,2.089202294801147e-6,37.407607706929355,43.15683051788434,9.016334935430813e-5,31.25172009774241,31.251714141991442,30.058856257003438,1.095313117009623e-6,38.398498622952765,4.508165113059512e-5,5.476562724589286e-7,38.398543156947625,33.283205038364564,1.3724328138604276,45.678962745096236,17.41192055208799
2008-12-09T02:55:00Z,144.1196487,3.471915,1.158024869,12.93,45.60384115,0.745067,0.5,286.08,9.606997911510525e-10,999.3880462158902,0.001199687250335644,1.2004218530311345e-6,1249.5285874819037,4.785416131132057e-7,0.31643042131058746,2.089202294801147e-6,37.407607706929355,43.31894001442025,9.050202888648001e-5,31.251720297963526,31.25172009774241,30.153100571537863,1.4429513387868452e-5,38.398503045806336,4.5250990808233394e-5,7.214752925602748e-6,38.39854108204422,33.15864979238561,1.3724328138604276,45.50801903837627,0.009181877076031061
2008-12-09T03:25:00Z,152.8724988,3.174098,1.1568533030000001,12.93,48.20496871,0.44704,0.5,286.08,9.606997911510525e-10,999.3880462158902,0.001199687250335644,1.2004218530311345e-6,1249.5285874819037,2.113301196648927e-7,0.31643042131058746,2.089202294801147e-6,37.407607706929355,43.275114533089486,9.041046859031302e-5,31.25172396566693,31.251720297963526,30.247339130542432,6.392173798002124e-6,38.3985009709051,4.520521068406127e-5,3.196085229656498e-6,38.39854298003055,33.19223178985084,1.3724328138604276,45.55410807365252,7.027062113336573
2008-12-09T03:55:00Z,109.7904839,3.76892925,1.153309854,13.034,34.0309795,1.192107,0.5,286.18399999999997,9.634604240359498e-10,999.374896481632,0.001196358168281478,1.197106483756335e-6,1242.507168837967,1.0189289687087207e-6,0.3153279306194887,2.089202294801147e-6,37.407607706929355,43.14256258296797,9.013354075193878e-5,31.251717115926276,31.25172396566693,30.063275304613168,3.0632342102135846e-5,38.398502868889445,4.506674683719509e-5,1.5316163051295797e-5,38.39853261947323,33.294203189452006,1.3676510536391042,45.53485207212846,132.33908415576943
2008-12-09T04:25:00Z,129.2589577,4.3637605,1.152255684,13.548,40.09924542,1.639147,0.5,286.698,9.771913623376675e-10,999.3079516327083,0.0011801082570054519,1.18092551457971e-6,1208.4895140238073,1.727704788247726e-6,0.3099629245865206,2.089202294801147e-6,37.407607706929355,43.103128605151554,9.005115519499159e-5,31.251701130856194,31.251717115926276,29.899113149151137,5.165684095214897e-5,38.39849250834295,4.502555408023685e-5,2.582840698566115e-5,38.398511705490044,33.32464507546751,1.3443817665215503,44.80104521526069,22.10692131471347
2008-12-09T04:55:00Z,122.6001629,4.95859175,1.152642852,13.522667,38.09769255,1.490133,0.5,286.672667,9.765112189847312e-10,999.3113268748904,0.0011809013022502544,1.1817151176933455e-6,1210.1398270897112,1.4819912326531362e-6,0.3102241090755128,2.089202294801147e-6,37.407607706929355,43.11761163381223,9.008141317170515e-5,31.25168845955982,31.251701130856194,29.713426422943257,4.403503745088595e-5,38.39847159438161,4.504068306069162e-5,2.2017507225497456e-5,38.398494617557446,33.31343663905135,1.3455145847938252,44.82371486744859,45.23937621481648
2008-12-09T05:25:00Z,135.5260586,5.5534230000000004,1.154120607,13.472,41.40311853,1.639147,0.5,286.62199999999996,9.751519650665742e-10,999.3180540022721,0.0011824898467919336,1.1832967913028868e-6,1213.4486046204115,1.7229920645482542e-6,0.31074748730362395,2.089202294801147e-6,37.407607706929355,43.172890913139184,9.019690276892997e-5,31.25167285031413,31.25168845955982,29.525976216375668,5.087302271885576e-5,38.39845450646686,4.509842782914341e-5,2.5436498073712155e-5,38.39847416839662,33.27076384868381,1.3477845986924408,44.841823101989284,11.824689133420005
2008-12-09T05:55:00Z,133.4470684,4.95894875,1.158049786,13.986,40.25821058,1.490133,0.5,287.13599999999997,9.890068008599685e-10,999.2483620632061,0.0011665233076488658,1.1674007703553073e-6,1180.3768885514442,1.5068122555713144e-6,0.30549931837332167,2.089202294801147e-6,37.407607706929355,43.31987209978149,9.050397620135567e-5,31.251659934650018,31.25167285031413,29.736717387340892,4.480765019970585e-5,38.39843405732739,4.525196446516268e-5,2.240381339813616e-5,38.39845690547846,33.1578636511906,1.325022061440816,43.93490084807407,13.518051327350618
2008-12-09T06:25:00Z,120.4566077,4.3644745,1.160928628,14.368667,36.21888091,0.89408,0.5,287.518667,9.994164844377722e-10,999.194406492707,0.001154847606815382,1.1557786946276417e-6,1156.4535032437773,6.745786807798709e-7,0.30167923972957983,2.089202294801147e-6,37.407607706929355,43.42756269196772,9.072896363367964e-5,31.251657668026695,31.251659934650018,29.93498858567088,2.0193505109282354e-5,38.39841679442727,4.536445812256819e-5,1.0096747281017673e-5,38.39845206213811,33.0756354318606,1.3084534860791799,43.27793048510204,49.83018090374825
2008-12-09T06:55:00Z,176.4214751,3.77000025,1.163138551,14.47,52.87098217,1.192107,0.5,287.62,1.002186667219042e-9,999.179825131926,0.0011517854743348657,1.1527309152612148e-6,1150.2157761287292,1.072757282857724e-6,0.30067990121443594,2.089202294801147e-6,37.407607706929355,43.510230624614245,9.090167366827122e-5,31.251650209653796,31.251657668026695,30.118094365278296,3.230940507614847e-5,38.39841195109198,4.545081309475999e-5,1.6154694100329667e-5,38.398441247210975,33.01278357096684,1.3041191209929865,43.05260229210098,96.40058342673237
