time,Rn_air__Bqm3,Rn_gw__Bqm3,Rn_offshore__Bqm3,Ra226_wat__Bqm3,Rn_exch__Bqm3,Rn_wat__Bqm3,temp_wat__C,sal_wat,wind__ms,depth__m,f_mix_exp__Bqm2hr,f_dif__Bqm2hr,meas_t__min,diff_owl__m,temp_wat__K,kw_air,f_Rn_atm__Bqm2hr,ex_Rn_wat__Bqm3,ex_Rn_wat_inv__Bqm2,f_Rn_gross__Bqm2hr,f_Rn_flood__Bqm2hr,f_Rn_ebb__Bqm2hr,f_Rn_net__Bqm2hr,f_Rn_mix__Bqm2hr,f_Rn_total__Bqm2hr,q_gw__m3m2d
2012-01-26T11:10:00Z,0.17,1000,0.17,0.17,4.605522,0.8812998561431881,24.1,33,3.6,1.129,0,2,,,297.25,0.19135721339365833,0.027749970722074236,0.711299856143188,0.8030575375856592,,,,,,,
2012-01-26T12:10:00Z,0.17,1000,0.17,0.17,26.33286,5.026183165246456,24.2,33,2.1,1.16,0,2,60,0.030999999999999917,297.34999999999997,0.19087114598438817,0.06904058988268306,4.856183165246456,5.633172471685889,4.830114934100229,0.0052699999999999865,0,2.893885523982912,0,2.893885523982912,0.0694532525755899
2012-01-26T13:10:00Z,0.17,1000,0.17,0.17,40.2738,7.650127735172414,24.39,33,2.6,1.215,0,3,60,0.05500000000000016,297.53999999999996,0.18995296533161543,0.14870314030349258,7.480127735172414,9.088355198234483,3.4551827265485944,0.009350000000000028,0,0.594535866852087,0,0.594535866852087,0.01426886080445009
2012-01-26T14:10:00Z,0.17,1000,0.17,0.17,55.78883,10.459032961529656,24.91,33,2.1,1.28,0,2,60,0.06499999999999995,298.06,0.18747539537089516,0.14590795651544622,10.289032961529657,13.16996219075796,4.0816069925234775,0.011049999999999992,0,2.216464949038924,0,2.216464949038924,0.05319515877693418
2012-01-26T15:10:00Z,0.17,1000,0.17,0.17,65.08697,12.220641965590348,24.85,33,2.6,1.325,0,4,60,0.04499999999999993,298,0.18775865531288902,0.23979283806774415,12.050641965590348,15.96710060440721,2.7971384136492503,0.007649999999999988,0,-0.9707187482830055,0.9707187482830055,0,0
2012-01-26T16:10:00Z,0.17,1000,0.17,0.17,69.73603,13.063930749015634,24.94,33,2.6,1.361,0,2,60,0.03600000000000003,298.09,0.18733401871336286,0.25677562944707194,12.893930749015635,17.548639749410277,1.5815391450030667,0.006120000000000006,0,-0.16780522554986121,0.16780522554986121,0,0
2012-01-26T17:10:00Z,0.17,1000,0.17,0.17,75.93479,14.354844460070538,24.58,33,1.5,1.373,0,5,60,0.01200000000000001,297.72999999999996,0.18904173515289285,0.11633317433125072,14.184844460070538,19.475791443676847,1.9271516942665698,0.002040000000000002,0,-2.9585551314021794,2.9585551314021794,0,0
2012-01-26T18:10:00Z,0.17,1000,0.17,0.17,58.8617,11.118886112711289,24.61,33,2.1,1.343,0,2,60,-0.030000000000000027,297.76,0.18889848768743153,0.15435104567080823,10.948886112711289,14.704354049371261,-4.771437394305585,0,0.328466583381339,-6.288619765253437,6.288619765253437,0,0
2012-01-26T19:10:00Z,0.17,1000,0.17,0.17,77.48447,14.737074718164266,24.34,33,4.1,1.319,0,6,60,-0.02400000000000002,297.48999999999995,0.19019391522151813,0.6037210200136336,14.567074718164266,19.213971553258666,4.509617503887406,0,0.3496097932359427,-0.5370516828630176,0.5370516828630176,0,0
2012-01-26T20:10:00Z,0.17,1000,0.17,0.17,75.93479,14.468011662529523,24.27,33,4.6,1.245,0,2,60,-0.07399999999999984,297.41999999999996,0.19053205602503837,0.7118443995396996,14.298011662529523,17.801024519849257,-1.4129470334094094,0,1.0580528630271826,-1.6430497708425271,1.6430497708425271,0,0
2012-01-26T21:10:00Z,0.17,1000,0.17,0.17,80.58385,15.40461445843174,24.14,33,6.2,1.151,0,7,60,-0.09400000000000008,297.28999999999996,0.19116255252673756,1.2200482837436888,15.23461445843174,17.535041241654934,-0.265983278194323,0,1.4320537590925848,-4.61388123535805,4.61388123535805,0,0
2012-01-26T22:10:00Z,0.17,1000,0.17,0.17,99.18014,18.882611546798202,24.3,33,6.2,1.102,0,2,60,-0.04899999999999993,297.45,0.19038702251073858,1.4991564112907734,18.7126115467982,20.621297924571618,3.0862566829166838,0,0.9169179657931106,3.502331060000568,0,3.502331060000568,0.08405594544001363
